,short_name,age,nationality_name,height_cm,weight_kg,overall,value_eur,wage_eur,club_name
2791,E. Aguirre,24,Mexico,171,67,73,6000000.0,28000.0,CF Monterrey
2792,K. Świderski,24,Poland,184,78,73,4700000.0,1000.0,PAOK
2793,Luis Rioja,27,Spain,175,68,73,3200000.0,19000.0,Deportivo Alavés
2794,M. Wittek,25,Germany,173,70,73,3700000.0,13000.0,Vitesse
2795,J. Otero,26,Colombia,182,70,73,3600000.0,18000.0,Santos Laguna
2796,W. Montoya,27,Argentina,173,72,73,3200000.0,44000.0,Cruz Azul
2797,Iago,29,Brazil,188,83,73,2500000.0,20000.0,Al Taawoun
2798,Pedro Nuno,26,Portugal,174,64,73,4000000.0,8000.0,Belenenses SAD
2799,Yan Junling,30,China PR,191,83,73,2000000.0,14000.0,Shanghai Port FC
2800,T. Antalyalı,26,Turkey,180,71,73,3600000.0,37000.0,Galatasaray SK
2801,G. Ferrari,29,Italy,189,82,73,2800000.0,24000.0,U.S. Sassuolo Calcio
2802,Adrián Marín,24,Spain,181,73,73,4300000.0,14000.0,Futebol Clube de Famalicão
2803,J. Dilrosun,23,Netherlands,174,74,73,4800000.0,28000.0,FC Girondins de Bordeaux
2804,F. Andone,28,Romania,180,78,73,3100000.0,47000.0,Cádiz CF
2805,A. Traoré,26,Mali,178,70,73,4000000.0,13000.0,Atakaş Hatayspor
2806,J. Barrera,25,Colombia,171,73,73,3600000.0,2000.0,Atlético Nacional
2807,Kike Barja,24,Spain,178,69,73,4800000.0,19000.0,CA Osasuna
2808,Raúl Guti,24,Spain,177,74,73,6000000.0,14000.0,Elche CF
2809,C. Budescu,32,Romania,186,80,73,2400000.0,14000.0,FCSB (Steaua)
2810,Pol Llonch,28,Spain,171,70,73,2700000.0,8000.0,Willem II
2811,D. Solanke,23,England,187,80,73,4700000.0,27000.0,AFC Bournemouth
2812,R. Lauritsen,25,Denmark,189,78,73,3600000.0,700.0,Dinamo Zagreb
2813,J. Carrascal,23,Colombia,179,70,73,6000000.0,12000.0,River Plate
2814,J. Gorenc Stanković,25,Slovenia,190,78,73,3800000.0,16000.0,SK Sturm Graz
2815,André Horta,24,Portugal,175,62,73,6000000.0,11000.0,SC Braga
2816,R. Ábila,31,Argentina,176,93,73,2600000.0,8000.0,D.C. United
2817,M. Coco,25,France,184,78,73,3800000.0,20000.0,FC Nantes
2818,H. ter Avest,24,Netherlands,182,78,73,4500000.0,11000.0,FC Utrecht
2819,H. Hajradinović,27,Bosnia and Herzegovina,178,74,73,3200000.0,13000.0,Kasimpaşa SK
2820,Y. Namli,27,Denmark,180,70,73,3200000.0,8000.0,Colorado Rapids
2821,D. Valoyes,24,Colombia,181,76,73,4200000.0,11000.0,Club Atlético Talleres
2822,S. Thioub,26,Senegal,179,75,73,3600000.0,19000.0,Angers SCO
2823,Ivo Rodrigues,26,Portugal,180,75,73,3600000.0,9000.0,Futebol Clube de Famalicão
2824,D. Álvarez,26,Mexico,176,75,73,3300000.0,8000.0,Puebla FC
2825,J. Bruun Larsen,22,Denmark,183,77,73,6000000.0,23000.0,TSG Hoffenheim
2826,J. Hromada,25,Slovakia,180,76,73,4100000.0,750.0,SK Slavia Praha
2827,E. Martínez,27,Argentina,169,67,73,3200000.0,1000.0,Barcelona Sporting Club
2828,B. Osayi-Samuel,23,Nigeria,175,72,73,4800000.0,31000.0,Fenerbahçe SK
2829,J. Kouassi,26,Côte d'Ivoire,180,88,73,3600000.0,12000.0,Wuhan FC
2830,M. Jonjić,30,Croatia,187,83,73,2500000.0,12000.0,Shanghai Shenhua FC
2831,Ricardo Lopes,30,Brazil,184,77,73,3000000.0,21000.0,Shanghai Port FC
2832,A. Castro,26,Argentina,183,71,73,3300000.0,12000.0,Club Atlético Colón
2833,R. Lod,28,Finland,181,82,73,3100000.0,8000.0,Minnesota United FC
2834,Sergi Palencia,25,Spain,172,68,73,4200000.0,21000.0,CD Leganés
2835,H. Choudhury,23,England,178,64,73,4000000.0,48000.0,Leicester City
2836,M. Vojvoda,26,Kosovo,187,78,73,3700000.0,29000.0,Torino F.C.
2837,L. Godoy,26,Argentina,173,70,73,3700000.0,12000.0,Estudiantes de La Plata
2838,V. Kovalenko,25,Ukraine,182,75,73,4000000.0,33000.0,Spezia
2839,W. Faríñez,23,Venezuela,180,77,73,3500000.0,14000.0,Racing Club de Lens
2840,J. Murillo,25,Venezuela,171,66,73,4000000.0,8000.0,CD Tondela
2841,Raillo,29,Spain,187,80,73,2500000.0,20000.0,RCD Mallorca
2842,T. Roberts,22,Wales,180,75,73,6000000.0,47000.0,Leeds United
2843,I. Rivero,29,Uruguay,166,60,73,3000000.0,46000.0,Cruz Azul
2844,M. Svanberg,22,Sweden,185,77,73,6000000.0,22000.0,Bologna
2845,S. Amallah,24,Morocco,186,82,73,4600000.0,12000.0,Standard de Liège
2846,K. Onisiwo,29,Austria,188,86,73,3000000.0,22000.0,1. FSV Mainz 05
2847,T. Lorch,27,South Africa,166,60,73,3200000.0,950.0,Orlando Pirates
2848,V. Pavlidis,22,Greece,186,82,73,6000000.0,9000.0,AZ Alkmaar
2849,William,26,Brazil,171,67,73,3700000.0,38000.0,VfL Wolfsburg
2850,A. Robinson,23,United States,183,70,73,6000000.0,33000.0,Fulham
2851,João Novais,27,Portugal,183,77,73,3200000.0,13000.0,Aytemiz Alanyaspor
2852,M. Matvienko,25,Ukraine,181,76,73,5500000.0,750.0,Shakhtar Donetsk
2853,Allano,26,Brazil,182,74,73,3600000.0,7000.0,Santa Clara
2854,M. Degenek,27,Australia,187,82,73,,,
2855,L. Rodríguez,24,Argentina,168,64,73,4800000.0,16000.0,Club Tijuana
2856,Lazo,25,Spain,178,71,73,4000000.0,10000.0,Unión Deportiva Almería
2857,G. Pereiro,26,Uruguay,188,75,73,3800000.0,25000.0,Cagliari
2858,Josan,31,Spain,175,68,73,2500000.0,16000.0,Elche CF
2859,D. Fry,23,England,191,72,73,5500000.0,18000.0,Middlesbrough
2860,Rodrigo Pinho,30,Brazil,185,78,73,3000000.0,12000.0,SL Benfica
2861,L. Coulibaly,25,Mali,183,77,73,4100000.0,28000.0,US Salernitana 1919
2862,F. Sacko,26,Mali,179,68,73,3700000.0,9000.0,Vitória de Guimarães
2863,Jaim Abra,29,Brazil,188,81,73,2100000.0,11000.0,Associação Chapecoense de Futebol
2864,Freder Cabral,29,Brazil,188,83,73,2100000.0,21000.0,Clube Atlético Mineiro
2865,Hugo Goiteira,29,Brazil,190,88,73,2500000.0,11000.0,Ceará Sporting Club
2866,Osvaldão Murilo,21,Brazil,185,81,73,3100000.0,9000.0,RB Bragantino
2867,Lúcio Calegario,29,Brazil,169,69,73,3000000.0,30000.0,São Paulo
2868,Caio Chissano,33,Brazil,173,74,73,1600000.0,26000.0,São Paulo
2869,Paulson Junqueira,25,Brazil,177,76,73,3100000.0,20000.0,Sport Club Corinthians Paulista
2870,Juliano Mascarinhas,25,Brazil,183,80,73,3000000.0,20000.0,Grêmio
2871,Nicolás Formido,21,Brazil,183,77,73,3600000.0,16000.0,Internacional
2872,Guto Costinho,33,Brazil,179,77,73,1500000.0,26000.0,Palmeiras
2873,Michel Cruceiro,29,Brazil,185,82,73,2600000.0,27000.0,Flamengo
2874,Jonas Damasto,25,Brazil,177,69,73,3100000.0,11000.0,Club Athletico Paranaense
2875,Jeffmeirson,29,Brazil,179,77,73,2700000.0,14000.0,RB Bragantino
2876,Tramontinaldo,25,Brazil,175,71,73,3100000.0,11000.0,Club Athletico Paranaense
2877,Neviano Neves,21,Brazil,170,70,73,3600000.0,17000.0,Sport Club Corinthians Paulista
2878,Silvosinho,25,Brazil,177,73,73,3100000.0,19000.0,Santos
2879,Enaldo Toxeto,37,Brazil,181,79,73,550000.0,15000.0,Grêmio
2880,Fabrio Farinha,29,Brazil,177,72,73,3000000.0,22000.0,Internacional
2881,Brenito Duarte,29,Brazil,181,72,73,3000000.0,15000.0,Cuiabá
2882,Sandelas Júnior,29,Brazil,183,78,73,2600000.0,20000.0,Santos
2883,Dagoberto Esteiro,25,Brazil,178,75,73,3400000.0,30000.0,São Paulo
2884,Luis Couprins,21,Brazil,177,72,73,3200000.0,9000.0,Club Athletico Paranaense
2885,Nuno Lisareda,21,Brazil,190,88,73,3600000.0,19000.0,Sport Club Corinthians Paulista
2886,Rodolfo Pittaça,21,Brazil,179,77,73,3600000.0,12000.0,Cuiabá
2887,Marcos Paneira,21,Brazil,182,73,73,3200000.0,8000.0,Bahia
2888,Claudiosa Paes,33,Brazil,175,75,73,1900000.0,31000.0,São Paulo
2889,Thio Rolim,25,Brazil,169,67,73,3400000.0,15000.0,Cuiabá
2890,Marlon Nideiro,25,Brazil,169,66,73,3400000.0,22000.0,Grêmio
2891,Leo Caldeirinha,25,Brazil,175,75,73,3400000.0,19000.0,Juventude
2892,Alvildo Sousa,25,Brazil,183,79,73,3400000.0,11000.0,Atlético Clube Goianiense
2893,Fabri Arnoia,29,Brazil,175,73,73,3000000.0,32000.0,Flamengo
2894,M. Diakhaby,24,France,189,78,73,4400000.0,20000.0,Valencia CF
2895,G. Cimirot,28,Bosnia and Herzegovina,178,77,73,2700000.0,13000.0,Standard de Liège
2896,H. Wahl,27,Germany,189,85,73,2800000.0,18000.0,Holstein Kiel
2897,T. Chalobah,21,England,191,84,73,5500000.0,43000.0,Chelsea
2898,J. Aribo,24,Nigeria,183,76,73,4600000.0,34000.0,Rangers FC
2899,N. Skubic,32,Slovenia,178,75,73,2100000.0,14000.0,İttifak Holding Konyaspor
2900,K. Amian,23,France,180,78,73,3900000.0,12000.0,Spezia
2901,J. Lewis,23,Northern Ireland,178,70,73,6000000.0,24000.0,Newcastle United
2902,J. Dasilva,22,England,184,75,73,7000000.0,31000.0,Brentford
2903,L. Kleinheisler,27,Hungary,173,70,73,,,
2904,R. Pierre-Gabriel,23,France,177,80,73,4300000.0,16000.0,Stade Brestois 29
2905,M. van Bergen,21,Netherlands,170,62,73,4900000.0,17000.0,Stade de Reims
2906,Toni Lato,23,Spain,171,64,73,4500000.0,20000.0,Valencia CF
2907,D. Boyko,33,Ukraine,197,85,73,1000000.0,650.0,Dynamo Kyiv
2908,T. Fosu-Mensah,23,Netherlands,185,80,73,6000000.0,28000.0,Bayer 04 Leverkusen
2909,F. Ricca,26,Uruguay,178,73,73,3500000.0,18000.0,Club Brugge KV
2910,T. Asano,26,Japan,173,71,73,3300000.0,20000.0,VfL Bochum 1848
2911,C. Bravo,24,Argentina,170,69,73,6000000.0,6000.0,Portland Timbers
2912,Bernardo,26,Brazil,186,76,73,3500000.0,20000.0,FC Red Bull Salzburg
2913,N. Molina,23,Argentina,175,70,73,6500000.0,11000.0,Udinese Calcio
2914,Y. Kobayashi,33,Japan,177,72,73,1900000.0,12000.0,Kawasaki Frontale
2915,A. Vega,23,Mexico,173,77,73,7000000.0,34000.0,Club Deportivo Guadalajara
2916,M. Zajc,27,Slovenia,178,76,73,3500000.0,35000.0,Fenerbahçe SK
2917,Lincoln,22,Brazil,178,70,73,7000000.0,6000.0,Santa Clara
2918,A. Fukumori,28,Japan,183,75,73,2600000.0,6000.0,Hokkaido Consadole Sapporo
2919,S. Alakouch,22,France,175,66,73,4400000.0,12000.0,FC Metz
2920,Vágner Corraldo,21,Brazil,175,70,73,3300000.0,9000.0,Club Athletico Paranaense
2921,Mardial Cunha,21,Brazil,183,77,73,3100000.0,8000.0,Fortaleza
2922,G. Escobar,24,Argentina,171,70,73,3800000.0,6000.0,UD Ibiza
2923,Dodô,22,Brazil,166,71,73,6500000.0,650.0,Shakhtar Donetsk
2924,Artur,25,Brazil,181,70,73,3400000.0,7000.0,Columbus Crew
2925,Diogo Leite,22,Portugal,188,73,73,6500000.0,9000.0,SC Braga
2926,Diogo Costa,21,Portugal,187,81,73,6500000.0,5000.0,FC Porto
2927,Maycon,23,Brazil,175,76,73,4800000.0,750.0,Shakhtar Donetsk
2928,L. Bénes,23,Slovakia,181,72,73,4300000.0,19000.0,Borussia Mönchengladbach
2929,G. Hamer,24,Netherlands,169,61,73,6000000.0,17000.0,Coventry City
2930,Guilherme,26,Brazil,180,72,73,3600000.0,14000.0,Al Faisaly
2931,I. Oblyakov,22,Russia,175,74,73,6000000.0,29000.0,PFC CSKA Moscow
2932,E. Karaca,31,Turkey,166,56,73,2500000.0,13000.0,Aytemiz Alanyaspor
2933,João Talocha,31,Portugal,180,77,73,2200000.0,9000.0,Gil Vicente FC
2934,P. Retsos,22,Greece,186,79,73,4400000.0,28000.0,Bayer 04 Leverkusen
2935,W. Faes,23,Belgium,187,82,73,5500000.0,16000.0,Stade de Reims
2936,F. Stojković,28,Montenegro,180,76,73,2800000.0,23000.0,SK Rapid Wien
2937,Luis Pérez,26,Spain,174,70,73,3700000.0,9000.0,Real Valladolid CF
2938,V. Janelt,23,Germany,184,79,73,5500000.0,28000.0,Brentford
2939,C. Bernardi,31,Argentina,177,73,73,2500000.0,12000.0,Club Atlético Colón
2940,K. Bonifazi,25,Italy,187,85,73,4000000.0,22000.0,Bologna
2941,S. Özcan,23,Germany,180,74,73,6000000.0,19000.0,1. FC Köln
2942,J. Bellegarde,23,France,172,70,73,6500000.0,17000.0,RC Strasbourg Alsace
2943,Aleix Febas,25,Spain,171,61,73,4400000.0,20000.0,RCD Mallorca
2944,D. Geiger,23,Germany,173,67,73,6000000.0,23000.0,TSG Hoffenheim
2945,V. Nelsson,22,Denmark,185,78,73,6500000.0,32000.0,Galatasaray SK
2946,G. Til,23,Netherlands,186,78,73,4800000.0,35000.0,Feyenoord
2947,Santi Comesaña,24,Spain,184,75,73,4400000.0,13000.0,Rayo Vallecano
2948,I. Cardona,23,France,185,76,73,4400000.0,15000.0,Stade Brestois 29
2949,Enzo Merques,25,Brazil,187,76,73,3100000.0,19000.0,Internacional
2950,Marlion Simões,29,Brazil,180,75,73,2700000.0,11000.0,Ceará Sporting Club
2951,Jorge Praceira,29,Brazil,180,74,73,2500000.0,27000.0,Palmeiras
2952,Nildo Reisão,25,Brazil,191,90,73,3000000.0,23000.0,Clube Atlético Mineiro
2953,Roberto Soira,25,Brazil,187,83,73,2900000.0,12000.0,Associação Chapecoense de Futebol
2954,O. Ejaria,23,England,188,74,73,6000000.0,20000.0,Reading
2955,E. Cabaco,26,Uruguay,186,75,73,4000000.0,20000.0,Getafe CF
2956,S. Doumbia,24,Côte d'Ivoire,175,64,73,4300000.0,15000.0,Angers SCO
2957,Álvaro,23,Spain,186,75,73,6000000.0,7000.0,Brentford
2958,A. Nordin,23,France,170,69,73,4600000.0,21000.0,AS Saint-Étienne
2959,A. Ahmedhodžić,22,Bosnia and Herzegovina,192,84,73,6500000.0,6000.0,Malmö FF
2960,G. Arteaga,22,Mexico,174,65,73,6000000.0,11000.0,KRC Genk
2961,M. Hongla,23,Cameroon,181,77,73,6500000.0,15000.0,Hellas Verona
2962,A. Barkok,23,Morocco,189,82,73,4800000.0,19000.0,Eintracht Frankfurt
2963,M. Ngadeu,30,Cameroon,190,93,73,2500000.0,17000.0,KAA Gent
2964,D. Raum,23,Germany,180,75,73,6000000.0,20000.0,TSG Hoffenheim
2965,G. Gudmundsson,22,Sweden,181,72,73,6500000.0,21000.0,LOSC Lille
2966,H. Wolf,22,Austria,179,69,73,4900000.0,19000.0,Borussia Mönchengladbach
2967,J. Torunarigha,23,Germany,191,80,73,6500000.0,25000.0,Hertha BSC
2968,R. Cannon,23,United States,180,75,73,6500000.0,10000.0,Boavista FC
2969,O. Karavaev,29,Ukraine,175,71,73,3000000.0,900.0,Dynamo Kyiv
2970,T. Guidara,25,Argentina,173,70,73,3700000.0,11000.0,Vélez Sarsfield
2971,J. Rodríguez,25,Mexico,171,61,73,4300000.0,17000.0,Club León
2972,J. Gressel,27,Germany,185,84,73,3200000.0,8000.0,D.C. United
2973,A. Abedzadeh,28,Iran,186,80,73,2400000.0,6000.0,SD Ponferradina
2974,D. Mihailovic,22,United States,178,69,73,4400000.0,7000.0,Club de Foot Montréal
2975,A. Bodart,23,Belgium,186,80,73,3900000.0,8000.0,Standard de Liège
2976,Rodrigo,28,Brazil,176,73,73,2800000.0,1000.0,PAOK
2977,M. Friedl,23,Austria,187,82,73,4200000.0,9000.0,SV Werder Bremen
2978,P. Cutrone,23,Italy,183,79,73,4700000.0,51000.0,Empoli
2979,K. Danso,22,Austria,190,87,73,4400000.0,18000.0,Racing Club de Lens
2980,Guridi,26,Spain,179,64,73,4000000.0,24000.0,Real Sociedad
2981,N. Bustos,22,Argentina,176,64,73,7000000.0,71000.0,Girona FC
2982,E. Copetti,25,Argentina,180,88,73,4100000.0,16000.0,Racing Club
2983,N. Sangaré,27,Turkey,185,72,73,3200000.0,32000.0,Fenerbahçe SK
2984,Pedro Sá,27,Portugal,185,81,73,3500000.0,7000.0,Portimonense SC
2985,M. Ullmann,25,Austria,180,65,73,3900000.0,21000.0,SK Rapid Wien
2986,I. Niane,22,Senegal,187,73,73,7000000.0,15000.0,FC Metz
2987,E. Kılınç,26,Turkey,174,68,73,3300000.0,40000.0,Galatasaray SK
2988,H. Koffi,24,Burkina Faso,186,81,73,3700000.0,8000.0,Royal Charleroi S.C.
2989,A. Matusiwa,23,Netherlands,173,72,73,5500000.0,16000.0,Stade de Reims
2990,I. Diallo,22,France,179,68,73,6000000.0,31000.0,Southampton
2991,K. Wagner,24,Germany,182,78,73,3800000.0,6000.0,Philadelphia Union
2992,M. Okugawa,25,Japan,177,62,73,4000000.0,19000.0,DSC Arminia Bielefeld
2993,M. Cuisance,21,France,181,74,73,7000000.0,35000.0,FC Bayern München
2994,M. Sáček,24,Czech Republic,178,72,73,4000000.0,750.0,AC Sparta Praha
2995,Paulinho,20,Brazil,177,77,73,6500000.0,26000.0,Bayer 04 Leverkusen
2996,O. Ba,25,Senegal,192,84,73,3800000.0,1000.0,Olympiacos CFP
2997,K. Malong,25,Cameroon,180,79,73,4000000.0,1000.0,Olympiacos CFP
2998,L. Juliš,26,Czech Republic,187,86,73,4000000.0,1000.0,AC Sparta Praha
2999,M. Nzola,24,France,185,82,73,4400000.0,14000.0,Spezia
3000,M. Ojeda,22,Argentina,179,78,73,4900000.0,14000.0,Godoy Cruz
3001,N. Phillips,24,England,190,84,73,4400000.0,52000.0,Liverpool
3002,N. Tenaglia,25,Argentina,181,70,73,4200000.0,11000.0,Club Atlético Talleres
3003,Borja Sánchez,25,Spain,185,80,73,4000000.0,9000.0,Real Oviedo
3004,M. Guéhi,20,England,185,75,73,6000000.0,26000.0,Crystal Palace
3005,E. Elmas,21,North Macedonia,184,74,73,7000000.0,31000.0,Napoli
3006,Dani Raba,25,Spain,184,76,73,4000000.0,23000.0,Villarreal CF
3007,J. El Yamiq,29,Morocco,192,80,73,2800000.0,10000.0,Real Valladolid CF
3008,M. Bayo,23,Guinea,188,76,73,6000000.0,15000.0,Clermont Foot 63
3009,Manu Morlanes,22,Spain,178,75,73,6500000.0,19000.0,RCD Espanyol de Barcelona
3010,C. Führich,23,Germany,178,69,73,4800000.0,19000.0,VfB Stuttgart
3011,A. Sambi Lokonga,21,Belgium,183,73,73,7000000.0,40000.0,Arsenal
3012,A. Harroui,23,Netherlands,182,76,73,5500000.0,8000.0,U.S. Sassuolo Calcio
3013,Nanu,27,Guinea Bissau,177,69,73,3200000.0,10000.0,FC Porto
3014,K. Mavropanos,23,Greece,194,89,73,6500000.0,42000.0,VfB Stuttgart
3015,H. Morita,26,Japan,177,72,73,3600000.0,6000.0,Santa Clara
3016,F. Ortega,22,Argentina,177,75,73,6000000.0,10000.0,Vélez Sarsfield
3017,C. Jones,20,England,185,75,73,7500000.0,49000.0,Liverpool
3018,R. Aït Nouri,20,France,179,70,73,6500000.0,35000.0,Wolverhampton Wanderers
3019,N. Baumann,25,Switzerland,192,83,73,3800000.0,7000.0,FC Lugano
3020,A. Cicâldău,23,Romania,178,76,73,4800000.0,35000.0,Galatasaray SK
3021,Dani Gómez,22,Spain,178,69,73,4900000.0,21000.0,Levante Unión Deportiva
3022,A. Laurienté,22,France,171,59,73,6000000.0,14000.0,FC Lorient
3023,A. Vallci,25,Austria,191,82,73,3700000.0,19000.0,FC Red Bull Salzburg
3024,Catena,26,Spain,194,82,73,3500000.0,15000.0,Rayo Vallecano
3025,Enric Gallego,34,Spain,190,79,73,1500000.0,10000.0,CD Tenerife
3026,F. Sakala,24,Zambia,178,72,73,4700000.0,38000.0,Rangers FC
3027,B. Lednev,23,Ukraine,173,70,73,7000000.0,750.0,Dynamo Kyiv
3028,Sancet,21,Spain,188,72,73,7000000.0,17000.0,Athletic Club de Bilbao
3029,L. Tawamba,31,Cameroon,189,95,73,2600000.0,22000.0,Al Taawoun
3030,Y. Benrahou,22,Morocco,170,68,73,4900000.0,6000.0,Nîmes Olympique
3031,J. Rodríguez,27,Argentina,185,81,73,3100000.0,12000.0,Defensa y Justicia
3032,D. Popov,22,Ukraine,187,77,73,6500000.0,650.0,Dynamo Kyiv
3033,F. Krüger,22,Germany,186,81,73,7000000.0,19000.0,DSC Arminia Bielefeld
3034,Tomás Tavares,20,Portugal,187,77,73,6500000.0,7000.0,FC Basel 1893
3035,A. Parmak,26,Turkey,176,70,73,3400000.0,19000.0,Trabzonspor
3036,K. Furuhashi,26,Japan,170,63,73,4000000.0,43000.0,Celtic
3037,I. Baba,25,Ghana,185,73,73,4300000.0,18000.0,RCD Mallorca
3038,I. Diveev,21,Russia,193,85,73,6500000.0,21000.0,PFC CSKA Moscow
3039,I. Traoré,32,Côte d'Ivoire,186,80,73,2400000.0,850.0,SK Slavia Praha
3040,H. Elliott,18,England,170,64,73,7000000.0,29000.0,Liverpool
3041,Hugo Guillamón,21,Spain,178,62,73,6500000.0,17000.0,Valencia CF
3042,Y. Verschaeren,19,Belgium,172,63,73,6500000.0,10000.0,RSC Anderlecht
3043,L. Orellano,21,Argentina,177,66,73,7000000.0,11000.0,Vélez Sarsfield
3044,S. Koita,21,Mali,173,67,73,7000000.0,18000.0,FC Red Bull Salzburg
3045,M. Camara,21,Mali,169,65,73,6500000.0,14000.0,FC Red Bull Salzburg
3046,E. Díaz,25,Argentina,175,74,73,4200000.0,11000.0,Club Atlético Talleres
3047,O. Kossounou,20,Côte d'Ivoire,191,79,73,6000000.0,23000.0,Bayer 04 Leverkusen
3048,R. Rojas,25,Paraguay,176,75,73,3800000.0,12000.0,River Plate
3049,B. Kouyaté,24,Mali,192,78,73,4400000.0,12000.0,FC Metz
3050,J. Kayamba,29,Congo DR,170,67,73,3000000.0,1000.0,FC Viktoria Plzeň
3051,E. Fernández,20,Argentina,180,77,73,6500000.0,10000.0,River Plate
3052,A. Vigo,22,Argentina,175,74,73,6500000.0,11000.0,River Plate
3053,Marcos Antonio,21,Brazil,168,57,73,7500000.0,650.0,Shakhtar Donetsk
3054,A. Palavecino,24,Argentina,179,74,73,4600000.0,12000.0,River Plate
3055,N. Schlotterbeck,21,Germany,191,86,73,6500000.0,14000.0,Sport-Club Freiburg
3056,M. Olise,19,France,184,68,73,7000000.0,22000.0,Crystal Palace
3057,Gustavo Assunção,21,Brazil,178,68,73,7000000.0,6000.0,Galatasaray SK
3058,Mateu Morey,21,Spain,173,67,73,6500000.0,25000.0,Borussia Dortmund
3059,B. Özdemir,23,Turkey,187,76,73,4000000.0,17000.0,Trabzonspor
3060,E. Piovi,28,Argentina,171,70,73,2700000.0,1000.0,LDU Quito
3061,R. Cherki,17,France,176,71,73,7000000.0,9000.0,Olympique Lyonnais
3062,David Carmo,21,Portugal,196,89,73,6500000.0,8000.0,SC Braga
3063,Maracás,27,Brazil,184,71,73,3500000.0,9000.0,FC Paços de Ferreira
3064,R. Nteka,23,France,189,75,73,7000000.0,16000.0,Rayo Vallecano
3065,B. Brobbey,19,Netherlands,180,78,73,7500000.0,31000.0,RB Leipzig
3066,Paulinho,26,Brazil,178,71,73,3500000.0,20000.0,FC Midtjylland
3067,A. Frías,23,Argentina,180,77,73,4400000.0,10000.0,Defensa y Justicia
3068,F. Daniliuc,20,Austria,188,80,73,6000000.0,16000.0,OGC Nice
3069,Son,27,Spain,178,72,73,3200000.0,20000.0,Levante Unión Deportiva
3070,A. Velasco,18,Argentina,167,63,73,7000000.0,4000.0,Club Atlético Independiente
3071,Manu Sánchez,20,Spain,171,66,73,6500000.0,23000.0,CA Osasuna
3072,Fer Niño,20,Spain,190,78,73,6500000.0,20000.0,RCD Mallorca
3073,L. Fernández,22,Uruguay,166,66,73,7000000.0,30000.0,Tigres U.A.N.L.
3074,J. Frimpong,20,Netherlands,171,63,73,6500000.0,23000.0,Bayer 04 Leverkusen
3075,B. Ocampo,22,Uruguay,174,68,73,7000000.0,1000.0,Club Nacional de Football
3076,A. Kalimuendo,19,France,175,78,73,6500000.0,33000.0,Racing Club de Lens
3077,B. Castillo,22,Ecuador,171,60,73,6000000.0,850.0,Barcelona Sporting Club
3078,E. Kara,25,Austria,192,89,73,4100000.0,25000.0,SK Rapid Wien
3079,Y. Maçon,22,France,176,74,73,4600000.0,19000.0,AS Saint-Étienne
3080,K. Mitoma,24,Japan,178,71,73,4600000.0,40000.0,Royale Union Saint-Gilloise
3081,Evanilson,21,Brazil,183,80,73,7000000.0,9000.0,FC Porto
3082,A. Ndao,24,Senegal,176,68,73,4600000.0,26000.0,Al Ahli
3083,K. Jakić,24,Croatia,181,78,73,4200000.0,600.0,Eintracht Frankfurt
3084,I. Grbić,25,Croatia,195,93,73,3800000.0,25000.0,LOSC Lille
3085,Jon Morcillo,22,Spain,183,72,73,4900000.0,18000.0,Athletic Club de Bilbao
3086,D. Rensch,18,Netherlands,179,68,73,7000000.0,3000.0,Ajax
3087,I. Moriba,18,Spain,185,73,73,7000000.0,17000.0,RB Leipzig
3088,Yeremy Pino,18,Spain,172,60,73,6500000.0,8000.0,Villarreal CF
3089,A. Sima,20,Senegal,188,74,73,7500000.0,31000.0,Stoke City
3090,J. Masharipov,27,Uzbekistan,172,64,73,3200000.0,30000.0,Al Nassr
3091,J. Pešek,28,Czech Republic,174,63,73,3100000.0,1000.0,AC Sparta Praha
3092,A. Sâyoud,30,Algeria,171,69,73,2900000.0,18000.0,Al Tai
3093,S. Rahimi,25,Morocco,181,76,73,4000000.0,1000.0,Al Ain FC
3094,H. Kaldırım,31,Turkey,183,75,72,1700000.0,23000.0,İstanbul Başakşehir FK
3095,J. Briand,35,France,181,84,72,1000000.0,15000.0,FC Girondins de Bordeaux
3096,J. Morel,37,Madagascar,172,71,72,425000.0,9000.0,FC Lorient
3097,E. Bologna,39,Argentina,189,87,72,250000.0,6000.0,River Plate
3098,G. Gönül,36,Turkey,175,75,72,525000.0,7000.0,Çaykur Rizespor
3099,M. Demir,29,Turkey,180,72,72,2300000.0,13000.0,Gazişehir Gaziantep F.K.
3100,O. Wendt,35,Sweden,181,82,72,725000.0,3000.0,IFK Göteborg
3101,A. Cordaz,38,Italy,188,83,72,250000.0,25000.0,Inter
3102,D. Cvitanich,37,Argentina,177,70,72,800000.0,11000.0,Racing Club
3103,B. Białkowski,33,Poland,194,86,72,750000.0,9000.0,Millwall
3104,M. Bradley,33,United States,188,79,72,1200000.0,6000.0,Toronto FC
3105,C. Lucchetti,43,Argentina,182,74,72,250000.0,4000.0,Atlético Tucumán
3106,C. Gentner,35,Germany,189,81,72,950000.0,9000.0,FC Luzern
3107,B. Sharp,35,England,175,70,72,1000000.0,17000.0,Sheffield United
3108,S. Larsson,36,Sweden,178,70,72,750000.0,5000.0,AIK
3109,C. Keșerü,34,Romania,179,80,72,1100000.0,14000.0,FCSB (Steaua)
3110,O. Ustari,34,Argentina,183,76,72,400000.0,10000.0,Pachuca
3111,J. Torres Nilo,33,Mexico,182,76,72,1100000.0,14000.0,Deportivo Toluca
